flipkart_author,flipkart_isbn10,flipkart_title,flipkart_ratings count,flipkart_price,flipkart_stars
  Shouvik Bhattacharya,9386643723, Murder in a Minute,338,162,4.4
  Carroll Lewis,8175992980, Alice's Adventures In Wonderland online written,16,119,4.8
  Vineet Bajpai,9352685482, Harappa - Curse of the Blood River,614,132,4.4
  J. K. Rowling,1408855658, Harry Potter and the Philosopher's Stone,5577,234,4.6
  Stilton Geronimo,9385887815, Geronimo Stilton And The Kingdom Of Fantasy #8,626,360,4.5
  Bond Ruskin,8129118920, Great Stories for Children,2909,118,4.4
  Geronimo Stilton,9352751183, The Dragon of Fortune - An Epic Kingdom of Fantasy Adventures,1132,510,4.6
  Herge,1405206209, Tintin : The Crab With Golden Claws,186,285,4.8
  Thindiath Rajani,9350853736, Suppandi 3,175,76,4.4
  Herge,1405206195, King Ottokar's Sceptre - King Ottokar's Sceptre,128,399,4.7
  Madeline Miller,1526603330, Circe,148,388,4.5
  Sidney Sheldon,8172234864, BLOODLINE,362,280,4.5
  Stilton Geronimo,9351033287, The Super Chef Contest,307,186,4.5
  Bos Miriam,1509808361, The Jungle Book,5,186,4.8
 ,1409312135, Peppa Pig: Amazing Adventures Sticker Book,11,186,4.5
  Narayan R. K.,8185986002, Swami and Friends,1423,112,4.4
  Tripathi Amish,9381626340, The Secret of the Nagas,6674,244,4.6
  Amish,9382618341, Oath of the Vayuputras,8408,282,4.4
  Rowling J.K.,1408711702, Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,245,434,4.8
  Herge,1405282754, The Adventures of Tintin Volume 1,19,649,4.6
  J. K. Rowling,1408855666, Harry Potter and the Chamber of Secrets,3839,374,4.7
  Sanghi Ashwin,9386850648, Keepers of the Kalachakra,670,231,4.4
  J. K. Rowling,1408855674, Harry Potter and the Prisoner of Azkaban,3250,314,4.6
  Stilton Geronimo,9351032167, Geronimo Stilton,690,357,4.6
  Neil Gaiman,1526602067, Norse Mythology,105,319,4.7
  Doyle Christopher C.,9385724223, The Secret of the Druids,182,209,4.3
  Nitin Singhania,9387067548, Indian Art and Culture - For Civil Services Preliminary and Main Examinations Second Edition,5444,390,4.6
  unknown,9387067718, Bharatiya Kala Evam Sanskriti,1046,370,4.5
  Sun Tzu,8184950888, Art of War,236,210,4.3
  Meena Singh' and  'O P Singh,9352534751, ICSE Art of Effective English Writing Class - 9&10,193,316,4.5
  Donald J. Trump' and  ' Tony Schwartz,1784758248, Trump - The Art of the Deal,63,320,4.4
  Sen Shelja,9351770729, All you need is Love,34,238,4.5
  Narayan R. K.,8185986010, The Bachelor of Arts,158,117,4.3
  Khurshed Batliwala (Author)' and  ' Dinesh Ghodke (Author),9352641345, Ready- Study- Go!: Smart Ways to Learn - Smart Ways to Learn,574,178,4.4
  Thich Nhat Hanh,1846045096, The Art of Living,26,425,4.7
  Bhanumathi Narasimhan,9386850575, Gurudev - On the Plateau of the Peak - The Life of Sri Sri Ravi Shankar,60,327,4.7
  Rowling J.K.,1408711702, Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,245,434,4.8
  Vijay Agarwal,8190702564, The Art Of Study,64,140,4.5
  unknown,8125056866, The Orient Black Swan School Atlas,707,299,4.4
  Dreamland Publications,8184511213, World Map,48,130,4.4
  unknown,9357941495, World Atlas,35,185,4.3
 ,9332510210, Longman School Atlas Updated Edition,32,240,4.2
  Dreamland Publications,8184511523, India Map,29,104,4.3
  Disha Experts,9387421007, Disha Children's Yearbook 2018 - General Knowledge Fundamentals and Current Affairs - Disha,42,147,4.3
  unknown,1472311310, Our Earth - A Family Reference Guide,3,516,5
  Chbosky Stephen,1451696191, The Perks of Being a Wallflower,1897,186,4.5
  Moriarty Liane,1405911662, The Husband's Secret,44,340,4.4
 ,9960899551, The Sealed Nectar: Biography of the Noble Prophet,96,290,4.6
  Yudhanjaya Wijeratne,9353023335, Numbercaste, ,218, 
  Dr. Joseph Murphy,8192910962, The Power of Your Subconscious Mind,4640,94,4.5
  ROBIN SHARMA,9387944891, The 5 AM Club : Own Your Morning- Elevate Your Life,895,210,4.6
  Hill Napoleon,8192910911, Think and Grow Rich,2871,94,4.5
  unknown,9312147307, General Knowledge 2019,8181,30,4.3
  Binay Karna,9384761540, General Knowledge - lucent gk book,6418,180,4.4
  Lewis Norman,8183071007, Word Power Made Easy,25786,111,4.4
  Aggarwal R. S.,9352534026, Quantitative Aptitude for Competitive Examinations 2017 Edition,15290,450,4.4
  Paulo Coelho,8172234988, ALCHEMIST,16859,209,4.6
  Tushar A. Gandhi' and  ' Shashi Tharoor' and  ' Paranjoy Guha Thakurta' and  ' Avik Sarkar,8193769716, Manorama Yearbook 2019 First Edition,1126,228,4.6
  unknown,9388026586, 24 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995-2018),2348,325,4.5
  Carnegie Dale,8192910997, How To Win Friends & Influence People - The First and Still the Best Book of Its kind on Self-Help,231,130,4.5
  Jeff Keller,9351772071, ATTITUDE IS EVERYTHING,5887,118,4.5
  unknown,9384761141, Lucent's General Science,1903,183,4.2
  Tiwari Arun,8173711461, Wings of Fire,16362,265,4.6
  Chitra Banerjee Divakaruni,9353025982, The Forest of Enchantments,15,373,4.9
  Diwekar Rujuta,8184001053, Don't Lose Your Mind- Lose Your Weight,3440,143,4.3
  Shenoy Preeti,9380349300, Life is What You Make it,10007,86,4.1
 ,8179925919, The Theory Of Everything 01 Edition,18,190,4.2
  Panel of Experts,9388036662, Oswaal CBSE Sample Question Paper Class 10 Science (For March 2019 Exam),350,133,4.6
  Panel of Experts,9388036689, Oswaal CBSE Sample Question Paper Class 10 Mathematics (For March 2019 Exam),410,139,4.5
  Nitin Singhania,9387067548, Indian Art and Culture - For Civil Services Preliminary and Main Examinations Second Edition,5444,390,4.6
  unknown,9313161419, Cbse Chemistry Chapterwise Solved Papers Class12th,1958,161,4.5
  unknown,9313161427, Cbse Chapterwise Physics Class 12th,2200,182,4.5
  George Orwell,8192910903,1984,339,99,4.5
  Sharma Robin S.,8179922324, Who Will Cry When You Die?,5611,115,4.4
  Fitzgerald F. Scott,8172344562, The great Gatsby,654,142,4.4
  Panel of Experts,9388036670, Oswaal CBSE Sample Question Paper Class 10 Social Science (For March 2019 Exam),248,140,4.5
  unknown,9387949222, Objective NCERT at your FINGERTIPS for NEET-AIIMS - Biology,492,570,4.4
  Madaan K.V.S,9332551731, CBSE UGC NET/SET/JRF,2001,249,4.4
  Pandey D. C.,9313163292, 40 Years' Chapterwise Topicwise Solved Papers (2018-1979) Iit Jee Physics,1603,237,4.5
  Wren Martin,9352530144, High School English Grammar & Composition,1197,293,4.4
  Verma Rajesh,9312149830, Fast Track Objective Arithmetic,2808,266,4.4
  Charles Duhigg,1847946240, The Power of Habit,1682,305,4.4
  Tripathi Amish,9381626340, The Secret of the Nagas,6674,244,4.6
  Vasudev Sadhguru Jaggi,9386867508, Emotion & Relationships,1150,159,4.6
  Robert T. Kiyosaki,8186775218, Rich Dad Poor Dad,5259,150,4.4
  Tripathi Amish,9386224585, Sita,7022,226,4.6
  Laxmikanth M.,9352603869, Bharat Ki Rajvyavastha,3230,385,4.5
  Agarwal Amit M.,9313163314, 40 Years' Chapterwise Topicwise Solved Papers (2018-1979) Iit Jee Mathematics,1636,237,4.5
  Byrne Rhonda,1847370292, The Secret,6680,498,4.5
  Amish,9382618341, Oath of the Vayuputras,8408,282,4.4
  Shahi Ranjeet,9313163306, 40 Years' Chapterwise Topicwise Solved Papers (2018-1979) Iit Jee Chemistry - 40 Years Chapterwise Topicwise Solved Papers IIT JEE CHEMISTRY with 0 Disc,1712,247,4.5
  unknown,9387504913, Oswaal CBSE Question Bank for Class 10 Science (Mar 2019 Exam),1879,247,4.5
  Bakshi S. P.,9351768449, Objective General English,10558,160,4.3
  Amish,9385152149, Ram - Scion of Ikshvaku,6160,240,4.4
  Oswal Publishers,9387660400, 10 Last Years Solved Papers - CBSE Class 10 for 2019 Examination,598,390,4.3
  Bhagat Chetan,8129142147, One Indian Girl,37246,112,4.2
  Carnegie Dale,8175993952, How To Stop Worrying And Start Living,93,125,4.4
  Arihant Experts,9313169886, Current Affairs Yearly 2019,9,124,4.7
  Covey Stephen R.,1471131823, The 7 Habits Of Highly Effective People,2290,373,4.4
  Tiwari Arun,8173711461, Wings of Fire,16362,265,4.6
  Gandhi M. K.,8172343116, The Story of My Experiments with Truth,239,166,4.5
 ,8179925919, The Theory Of Everything 01 Edition,18,190,4.2
  Abdul Kalam A. P. J.,9350293471, Turning Points : A Journey Through Challanges,4059,150,4.5
  Smith E. Boyd,8175993286, The Autobiography Of Benjamin Franklin,90,140,4.5
  Kroc Ray,1250127505, Grinding It Out - The Making of McDonald's,26,280,4.5
  A P J Abdul Kalam,8129124912, My Journey - Transforming Dreams into Actions,3580,112,4.6
  Kuldip Nayar,9350292203, WITHOUT FEAR - PB,557,186,4.6
  Ganguly Sourav,9386228564, Century Is Not Enough,2653,434,4.7
  Bar-Zohar Michael,8184958455, Mossad,560,280,4.5
  Andy Marino,9351770257, NARENDRA MODI,194,283,4.5
  Northup Solomon,8175994479, 12 years a slave : - A True Story,56,140,4.4
  Calaprice Alice,8184953542, Albert Einstein,157,245,4.5
  Bansal Rashmi,9386850702, Touch The Sky - The Inspiring Stories of Women From Across India Who are Writing their Own Destiny,104,125,4.3
  Karan Thapar,9352779843, Devil's Advocate,108,417,4.6
  Simon Sebag Montefiore,1780220251, Jerusalem: The Biography,66,352,4.4
  Kalam A. P. J. Abdul,8183224202, My Journey,176,100,4.3
  Bond Ruskin,9386338904, Lone Fox Dancing - My Autobiography,135,450,4.7
  Abdul Kalam A. P. J.,8170286840, Inspiring Thoughts,357,149,4.2
  Bhanumathi Narasimhan,9386850575, Gurudev - On the Plateau of the Peak - The Life of Sri Sri Ravi Shankar,60,327,4.7
  Luca Caioli,1785782312, Ronaldo 2018 Updated Edition,26,200,4.3
  Pranab Mukherjee,8129149052, THE COALITION YEARS,207,331,4.6
  M.C. Mary Kom,9351160092, UNBREAKABLE,553,145,4.5
  Austen Jane,8172344503, Pride & Prejudice,629,182,4.4
  Usman Yasser,8193284186, Rekha,127,239,4.3
  Aditi Singhal' and  ' Sudhir Singhal,8184005210, How to Memorize Anything - The Ultimate Handbook to Explore and Improve Your Memory,598,255,4.3
  A P J Abdul Kalam,9352643836, Pathways to Greatness,483,156,4.6
  Vivekanand Swami,8170289262, Inspiring Thoughts,499,107,4.1
  Kalam A. P. J. Abdul,9350487977, Meri Jeevan Yatra,305,143,4.4
  Yogananda,8189955357, Auto.Of A Yogi (Telugu),59,171,4.5
  Manu S. Pillai,9351776425, The Ivory Throne,371,468,4.6
  Agarwal Satish C.,8175994711, Shirdi Sai Baba: - Reflections for World Peace and Happy Living,13,190,4.4
  Tiwari Anuj,8129149567, I TAGGED HER IN MY HEART,452,109,4.5
  Usman Yasser,9386228580, Sanjay Dutt :,122,264,4.5
  Khaled Hosseini,1408844443, A Thousand Splendid Suns,2540,309,4.5
  Sheela Ma Anand,8172344449, Don't Kill Him! - The story of my life with Bhagwan Rajneesh,46,188,3.6
  Abdul Kalam A. P. J.,9350641003, Turning Points,235,185,4.4
  Kapoor Sushil,9350484080, Lauhpurush Sardar Vallabhbhai Patel,4,125,4
  Vaibhav Purandare,8174369589, Bal Thackeray & the Rise of the Shiv Sena,62,280,4.2
  Sagarika Ghose,9386228343, Indira - India's Most Powerful Prime Minister,149,359,4.5
  Dr. Joseph Murphy,8192910962, The Power of Your Subconscious Mind,4640,94,4.5
  unknown,9312147307, General Knowledge 2019,8181,30,4.3
  Hill Napoleon,8192910911, Think and Grow Rich,2871,94,4.5
  Paulo Coelho,8172234988, ALCHEMIST,16859,209,4.6
  Jeff Keller,9351772071, ATTITUDE IS EVERYTHING,5887,118,4.5
  Tiwari Arun,8173711461, Wings of Fire,16362,265,4.6
 ,8179925919, The Theory Of Everything 01 Edition,18,190,4.2
  ROBIN SHARMA,9387944891, The 5 AM Club : Own Your Morning- Elevate Your Life,895,210,4.6
  Tushar A. Gandhi' and  ' Shashi Tharoor' and  ' Paranjoy Guha Thakurta' and  ' Avik Sarkar,8193769716, Manorama Yearbook 2019 First Edition,1126,228,4.6
  Carnegie Dale,8192910997, How To Win Friends & Influence People - The First and Still the Best Book of Its kind on Self-Help,231,130,4.5
  Sharma Robin S.,8179922324, Who Will Cry When You Die?,5611,115,4.4
  Sharma Savi,9386224399, This is Not Your Story,5133,125,4.3
  Amish,9385152149, Ram - Scion of Ikshvaku,6160,240,4.4
  Vasudev Sadhguru Jaggi,9386867508, Emotion & Relationships,1150,159,4.6
  Diwekar Rujuta,8184001053, Don't Lose Your Mind- Lose Your Weight,3440,143,4.3
  George Orwell,8192910903,1984,339,99,4.5
  Bhagat Chetan,8129142147, One Indian Girl,37246,112,4.2
  Pichon L.,9351033007, Tom Gates,238,176,4.5
  Lewis Norman,8183071007, Word Power Made Easy,25786,111,4.4
  Carnegie Dale,8175993952, How To Stop Worrying And Start Living,93,125,4.4
  Paulo Coelho,8172235437, VERONIKA DECIDES TO DIE,1393,209,4.4
  Shenoy Preeti,9380349300, Life is What You Make it,10007,86,4.1
  Murphy Joseph,8183225101, Miracles of Your Mind,1399,117,4.3
  Fitzgerald F. Scott,8172344562, The great Gatsby,654,142,4.4
  Tripathi Amish,9386224585, Sita,7022,226,4.6
  Robin Sharma,8184951191, The Leader Who had no title,1344,160,4.4
  Gates Tom,9351033015, Everything's Amazing (Sort of),166,221,4.6
 ,1862305277, The Boy in the Striped Pyjamas,83,372,4.5
  A P J Abdul Kalam,8129124912, My Journey - Transforming Dreams into Actions,3580,112,4.6
  Barbara Pease' and  ' Allan,8183220142, The Definitive Book of Body Language,643,299,4.4
  Byrne Rhonda,1847370292, The Secret,6680,498,4.5
  Byrne Rhonda,1849838399, The Magic,2498,255,4.4
  Byrne Rhonda,1849838399, The Magic,2498,255,4.4
  unknown,9350598485, Accounting & Finance for Bankers,693,330,4.5
  Stephenie Meyer,1904233910, Eclipse,558,309,4.5
  DK,1405353295, The Philosophy Book,42,788,4.8
  Summers George J.,8172242212, The Great Book of Puzzles and Teasers,552,149,4.2
  Dreamland Publications,9350896540, My Baby Record Book,48,175,4.2
  Aggarwal R. S.,9352534026, Quantitative Aptitude for Competitive Examinations 2017 Edition,15290,450,4.4
  unknown,9313163802, Prep Guide to Bitsat 2019,84,490,4.6
  Sharma Robin,8184959893, Little Black Book for Stunning Success + Tools for Action Mastery,104,220,4.4
  Hill Napoleon,8192910911, Think and Grow Rich,2871,94,4.5
  Dr. Joseph Murphy,8192910962, The Power of Your Subconscious Mind,4640,94,4.5
  Robert T. Kiyosaki,8186775811, Rich Dads Business School For People Who Like Helping People,1281,154,4.5
  Goyal Pankaj,8175994401, Before you start up - How to Prepare to Make Your Startup Dream A Reality,29,188,4.3
  Pease Allan,8186775056, Questions are the Answers,1891,76,4.4
  Jeff Keller,9351772071, ATTITUDE IS EVERYTHING,5887,118,4.5
  Radhakrishnan Pillai,8184951337, Corporate Chanakya,700,189,4.3
  Deodhar Satish Y,8184001630, IIMA,1706,173,4.4
  Covey Stephen R.,1471131823, The 7 Habits Of Highly Effective People,2290,373,4.4
  ROBIN SHARMA,9387944891, The 5 AM Club : Own Your Morning- Elevate Your Life,895,210,4.6
  Rajan Raghuram G.,9352770145, I Do What I Do,2416,436,4.6
  Hill Napoleon,8183223656, Think and Grow Rich - Magic Formula for Success- Wealth and Wisdom,413,148,4.5
  Robert T. Kiyosaki,8183223362, The Business of the 21st Century,102,149,4.2
  Mohnish Pabrai,8126564636, Dhandho Investor the Low-Risk Value Method to High Returns,181,268,4.3
  Miriyala Kanth,8129123932, Entrepreneur 5 P.M. to 9 a.M.,320,118,4.1
  Kiyosaki Robert T.,8183221645, The Business School,149,149,4.4
  K. Subramanian' and  ' Robert T. Kiyosaki,8183222366, The Business School,125,220,4.3
  Hedges Burke,8182744466, Copycat Marketing 101,548,125,4.3
  Robert T. Kiyosaki' and  ' Abhijit Thite,8183223664, Ekvisavya Shatkacha Vyavsay,82,149,4.3
  Devdutt Pattanaik,9384067547, BUSINESS SUTRA: A VERY INDIAN APPROACH TO MANAGEMENT,294,360,4.5
  Anil Lamba,9350294311, ROMANCING THE BALANCE SHEET,352,477,4.5
  Guillebeau Chris,1447286316, The $100 Startup,198,298,4.4
  ROBERT T. KIYOSAKI,8183223273, THE BUSINESS OF THE 21st CENTURY,73,185,4.3
  Kenneth Blanchard,8172234996, ONE MINUTE MANAGER,1087,118,4.4
  Allan Pease,8186775064, Questions are the Answers,1308,114,4.3
  Jeremy Kourdi,1444796119, The Big 100: The 100 Business Tools You Need To Succeed,28,197,4.1
  Manshani Shanker,8183222692, Naye Zamane Ka Naya Business,118,195,4.4
  Pease Allan,8183222374, Questions are the Answers,145,93,4.2
  Jayaram Easwaran,9352773691, Inside the C - Suite,5,240,4
  POONAM GANDHI,9387516806, Business Studies Class- 11 - CBSE-2018,33,342,4.5
  Aswath Damodaran,9353024536, Narrative and Numbers: The Value of Stories in Business, ,311, 
  Hill Napoleon,8186775552, Sochiye Aur Ameer Baniye,665,112,4.2
  Poonam Gandhi,9387516644, VK Business Studies Class 12 - Business Studies,35,381,4.1
  Josy Joseph,9350297515, A FEAST OF VULTURES,195,599,4.5
  Bansal Rashmi,9380658389, I Have a Dream,1007,187,4
  Nicholas Boothman,8183226957, Logo Ko 90 Seconds Main Prabhavit Kare (Hindi),9,215,4.4
  Hill Napoleon,8183223133, Think and Grow Rich - Magic Formula for Success- Wealth and Wisdom,196,203,4.3
  Philip Kotler' and  ' Hermawan Kartajaya' and  ' Iwan Setiawan,8126566930, Marketing 4.0 - Moving from Traditional to Digital,64,298,4.4
  Pease Allan,8186775447, Questions are the Answers (Marathi),30,112,4.3
  Harvard Business Review,1422157970, HBR's 10 Must Reads on Leadership,30,563,4.7
  Kiyosaki Robert T.,8183221459, Retire Young Retire Rich,125,308,4.5
  Trump Donald J.,8183220908, Hum Aapko Ameer Kyon Banana Chahte Hain?,43,419,4.2
  Bansal Rashmi,9381626707, Connect the Dots,992,191,4.3
  Radhakrishnan Pillai,8184953070, Corporate Chanakya on Leadership (With CD),68,232,4.3
  Tiwari Prateeksha M.,8128824287, Corporate Guru Dhirubhai Ambani,44,101,4.6
  Arihant Expert,9313161443, CBSE Chapterwise Solved Paper Business Studies Class 12,172,124,4.5
  Bond Ruskin,8129118920, Great Stories for Children,2909,118,4.4
  Bond Ruskin,8129137003, The Essential Collection for Young Readers,191,118,4.4
  unknown,8184511590, Lovely Board Books - Gift Pack,233,455,4.2
  Rowling J.K.,1408711702, Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,245,434,4.8
  Roopa Pai,9351952967, The Vedas and Upanishads for Children,8,238,4.9
  Wise Brown Margaret,1509829466, Goodnight Moon,34,139,4
  OM Books,8187107588, 365 Pancharantra Stories,242,396,4.4
  Bond Ruskin,8129124548, The Blue Umbrella,571,90,4.5
  Bhagat Chetan,8129142147, One Indian Girl,37246,112,4.2
 ,1409300498, Baby Touch: Peekaboo,356,319,4.4
  Osho,1250006201, The Book of Children,31,280,4.5
  Editorial Board,9350571099, Children's Encyclopedia - The World of Knowledge,99,975,4.2
  Khan Azeem Ahmad,9380914199, Student's Encyclopedia of General Knowledge,859,131,4.4
  Kumar Sandeep,9332541302, A Complete Resource for CTET: Child Development and Pedagogy - Central Teacher Eligibility Test - Common for Paper I and II,616,141,4.2
  Bos Miriam,1509808361, The Jungle Book,5,186,4.8
  Fitzgerald F. Scott,8172344562, The great Gatsby,654,142,4.4
  George Orwell,8192910903,1984,339,99,4.5
  Charlotte Bronte,8193387619, Jane Eyre : Jane Eyre,39,99,4.5
  Kafka Franz,8172345135, Metamorphosis,466,94,4.4
  Jerome Karen A.,8172344430, Three Men in a Boat,106,140,4.3
  Shakespeare William,8175994193, Macbeth,180,117,4.4
  Leo Tolstoy,8184950314, Greatest Short Stories of Leo Tolstoy,214,184,4.6
  Virginia Woolf,8175994215, Mrs. Dalloway,24,150,4.3
  Carroll Lewis,8175992980, Alice's Adventures In Wonderland online written,16,119,4.8
  Darwin Charles,8172344880, The Origin of Species,142,188,4.4
  Wise Brown Margaret,1509829466, Goodnight Moon,34,139,4
  Dr. Murphy Joseph,8172345666, The Power of Your Subconscious Mind - Unlock Your Master Key to Success,631,169,4.5
  Thindiath Rajani,9350853736, Suppandi 3,175,76,4.4
  Shriya Ghate,9350853701, Tantri the Mantri 4,64,79,4.4
  India Graphic,9386224658, Bahubali,102,95,4
  Stilton Geronimo,9386106256, Geronimo Stilton #64,285,184,4.5
  unknown,9311121266, Objective Computer Awareness,1936,78,4.3
  unknown,9383643242, A Handbook for Computer Science /it Engineering,490,191,4.3
  unknown,9350944308, Handbook of Computer Science & it,950,120,4.2
  Arihant Experts,9311124559, Ccc (Course on Computer Concepts) Study Guide - Based on NIELIT (DOEACC) Latest Syllabus 2018 Edition,810,125,4.2
  Shikha Agarwal,9386320177, Computer Knowledge for SBI/ IBPS Clerk/ PO/ RRB/ RBI/ SSC/ Railways/ Insurance Exams 2nd Edition,482,104,4.1
  Disha Experts,9388026764, 19 years GATE Computer Science & Information Technology Chapter-wise & Topic-wise Solved Papers (2018 - 2000) with 4 Online Practice Sets 5th Edition,46,189,4.2
  unknown,9332585601, Computer System Architecture 3e (Update) by Pearson,116,446,4.5
  Arihant Expert,9313161486, CBSE Computer Science Chapterwise Solved Papers Class 12,472,166,4.5
  Goyal Minni,9312149091, All in One Computer Science Cbse Class 12th,261,232,4.5
  Tanenbaum Andrew S.,9332518742, Computer Networks,304,493,4.4
  unknown,9311124567, Ccc (Course on Computer Concepts),649,94,4.2
  Panel of Experts,9387504743, Oswaal ICSE Question Bank Chapterwise & Topicwise Class 10 Computer App. (Mar 2019 Exam),53,79,4.5
  Shashank Johari,8173158762, Super Speed Computer Course,70,195,3.8
  Gupta Vikas,9351192652, Comdex Hardware and Networking Coure Kit- Revised & Upgraded,44,399,4.2
  Balagurusamy,9352607996, Object-Oriented Programming with C++,276,371,4.5
  Ashok Namdev Kamthane' and  ' Amit Ashok Kamthane,9387067572, Programming and Problem Solving with Python,171,416,4.4
  Binay Karna,9384761540, General Knowledge - lucent gk book,6418,180,4.4
  unknown,9387504921, Oswaal CBSE Question Bank for Class 10 Social Science (Mar 2019 Exam),1539,303,4.4
  Disha Experts,9388240278, Olympiad Champs Cyber Class 1 with Past Olympiad Questions,6,102,4.8
  Goel Anita,8131733092, Computer Fundamentals,240,455,4.3
  Er.Ankit Goel|Alka Singh,9312148222, Electronics and Communication Engineering GATE 2019,222,556,4.4
  Gareth Moore,1780552491, Brain Games for Clever Kids,179,137,4.2
  Dreamland Publications,9350899175, Refreshing Mandala - Book 3,28,237,4.6
  unknown,9350899477, Rejuvenate Yourself- Floral Patterns,22,186,4.4
  Dr. Murphy Joseph,8172345666, The Power of Your Subconscious Mind - Unlock Your Master Key to Success,631,169,4.5
  Shouvik Bhattacharya,9386643723, Murder in a Minute,338,162,4.4
  Bond Ruskin,8129144972, The Perfect Murder,279,118,4.3
  Rowling J.K.,1408711702, Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,245,434,4.8
  Salil Desai,8175994258, 3 and a Half Murders - An Inspector Saralkar Mystery,16,188,4.5
  Driscoll Teresa,1542046599, I Am Watching You,41,269,4.2
  Noah Trevor,1473635306, Born A Crime,224,299,4.7
  Sidney Sheldon,8172234902, TELL ME YOUR DREAMS,902,209,4.5
  Sidney Sheldon,8172234937, THE OTHER SIDE OF MIDNIGHT,386,209,4.5
  Sheldon Sidney,8172234856, Nothing Lasts Forever,590,280,4.5
  Sidney Sheldon,8172234864, BLOODLINE,362,280,4.5
  J. K. Rowling,1408855682, Harry Potter and the Goblet of Fire,2751,524,4.7
  Johnson,1847396488, Peaks and Valleys,50,109,4.7
  P. Geetha' and  ' Jeff Keller,8182747252, Attitude is Everything,31,148,4.3
  Dr. Murphy Joseph,8172345666, The Power of Your Subconscious Mind - Unlock Your Master Key to Success,631,169,4.5
  ROBIN SHARMA,9387944891, The 5 AM Club : Own Your Morning- Elevate Your Life,895,210,4.6
  Jeff Keller,9351772071, ATTITUDE IS EVERYTHING,5887,118,4.5
  Murphy Joseph,8183225101, Miracles of Your Mind,1399,117,4.3
  Rachel Renee Russell,1471158039, DORK Diaries : Frenemies Forever,225,172,4.4
  Russell Rachel Renee,1471144771, Dork Diaries: Holiday Heartbreak,8,245,4.5
  Russell Rachel Renee,1471168018, Dork Diaries: Crush Catastrophe - Tales From a not - so - fabulous Life,169,191,4.7
  Russell Rachel Renee,1471143953, Dork Diaries: TV Star,82,203,4.6
  Philip Kotler' and  ' Hermawan Kartajaya' and  ' Iwan Setiawan,8126566930, Marketing 4.0 - Moving from Traditional to Digital,64,298,4.4
  Peterson Bryan,1607748509, Understanding Exposure- Fourth Edition,18,633,4.6
  Harman Doug,1786481324, The Digital Photography Handbook, ,449, 
  Mayer-Schonberger Viktor,1848547927, Big Data,64,275,4.3
  Tom Ang,1409346455, Photography: The Definitive Visual History,2,1581,4.5
  Fadia Ankit,9385152459, Stretch Your Technology Email,17,81,3.9
