amazon_title,amazon_author,amazon_rating,amazon_reviews count,amazon_isbn-10,amazon_price
Geronimo Stilton and the Kingdom of Fantasy #8 - The Hour of Magic,by Geronimo Stilton,4.6,329.0,9385887815,274
Great Stories for Children,by Ruskin Bond,4.4,217.0,8129118920,182
The Dragon of Fortune (Geronimo Stilton and the Kingdom of Fantasy: Special Edition...,by Geronimo Stilton,4.6,285.0,9352751183,510
The Crab with Golden Claws (Tintin),by Herge,4.7,29.0,1405206209,279
Suppandi - 3: The Laughter Never Ends,by Rajani Thindiath,4.7,59.0,9350853736,76
The adventures of Tintin: King Ottokar's Sceptre,by Herge,4.6,32.0,1405206195,379
Circe: The Sunday Times Bestseller,by Madeline Miller,4.3,47.0,1526603330,364
Bloodline,by Sidney Sheldon,4.3,67.0,8172234864,280
Geronimo Stilton #58: The Super Chef Contest,by Geronimo Stilton,4.2,66.0,9351033287,186
The Jungle Book (First Stories),by Miriam Bos,4.4,71.0,1509808361,224
Peppa Pig: Amazing Adventures Sticker Book,by NA,4.8,11.0,1409312135,194
Swami and Friends,by R. K. Narayan,4.6,204.0,8185986002,114
The Secret Of The Nagas (Shiva Trilogy-2),by Amish Tripathi - Abridged,4.6,1681.0,9381626340,244
The Oath of the Vayuputras (Shiva Trilogy),by Amish Tripathi,4.4,1608.0,9382618341,282
Fantastic Beasts: The Crimes of Grindelwald: The Original Screenplay (Fantastic...,by J.K. Rowling,4.8,52.0,1408711702,434
The Adventures of Tintin Volume 1,by Herge,3.7,9.0,1405282754,784
Harry Potter and the Chamber of Secrets (Harry Potter 2),by J.K. Rowling,4.7,562.0,1408855666,374
Keepers of the Kalachakra: Book 5 in the Bharat Series of Historical and Mythological...,by Ashwin Sanghi,4.0,472.0,9386850648,100
Harry Potter and the Prisoner of Azkaban (Harry Potter 3),by J.K. Rowling,4.4,474.0,1408855674,374
Geronimo Stilton - The Hunt for the Golden Book,by Geronimo Stilton - Large Print,4.4,179.0,9351032167,319
Norse Mythology,by Neil Gaiman,4.4,108.0,1526602067,299
The Secret of the Druids (Mahabharata Quest Series Book 2),by Christopher C. Doyle,4.1,273.0,9385724223,179
Indian Art and Culture,by Nitin Singhania,4.5,391.0,9387067548,412
Bharatiya Kala Evam Sanskriti,by Nitin Singhania,4.6,128.0,9387067718,370
The Art of War,by Sun Tzu,4.3,76.0,8184950888,175
ICSE Art of Effective English Writing for Classes IX - X,by O P Singh,4.6,20.0,9352534751,316
Trump: The Art of the Deal,by Donald Trump,4.0,51.0,1784758248,320
All you need is Love: The art of mindful parenting,by Shelja Sen,4.3,36.0,9351770729,225
The Bachelor of Arts,by R. K. Narayan,4.4,31.0,8185986010,90
"Ready, Study, Go!: Smart Ways to Learn",by Khurshed Batliwala,4.5,444.0,9352641345,178
The Art of Living,by Thich Nhat Hanh,4.5,2.0,1846045096,434
Gurudev: On the Plateau of the Peak: The Life of Sri Sri Ravi Shankar,by Bhanumathi Narasimhan,4.9,330.0,9386850575,293
Fantastic Beasts: The Crimes of Grindelwald: The Original Screenplay (Fantastic...,by J.K. Rowling,4.8,52.0,1408711702,434
The Art Of Study,by Vijay Agarwal,4.3,17.0,8190702564,175
The Orient Blackswan School Atlas with CD,by OBS,4.1,479.0,8125056866,236
World Map,by Dreamland Publications,4.5,856.0,8184511213,91
"World Atlas: Government Approved Maps of India and the World, for Exams and Competitions...",by VS Editorial Board,3.5,2.0,9357941495,94
Longman School Atlas,by Longman,4.1,8.0,9332510210,286
India Map,by Dreamland Publications,4.6,594.0,8184511523,91
Disha Children's Yearbook 2018 - General Knowledge Fundamentals and Current Affairs,by Disha Experts,4.7,7.0,9387421007,203
Our Earth (Family Reference),by NA,2.0,1.0,1472311310,325
The Perks of Being a Wallflower,by Stephen Chbosky,4.4,306.0,1451696191,186
"The Husband's Secret: From the bestselling author of Big Little Lies, now an...",by Liane Moriarty,3.6,31.0,1405911662,221
The Sealed Nectar: Biography of the Noble Prophet,by Safi-ur-Rahman al-Mubarkpuri,4.7,38.0,9960899551,485
Numbercaste,by Yudhanjaya Wijeratne,4.5,2.0,9353023335,218
The Power of your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"4,977",8192910962,65
"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,4.3 out of 5 stars,143,9387944891,199
Think and Grow Rich,Napoleon Hill,4.6 out of 5 stars,"3,596",8192910911,64
General Knowledge 2019,Manohar Pandey,4.2 out of 5 stars,515,9312147307,19
General Knowledge,Not Available,4.4 out of 5 stars,"2,035",9384761540,156
Word Power Made Easy,Norman Lewis,4.4 out of 5 stars,"5,643",8183071007,76
Quantitative Aptitude for Competitive Examinations,R S Aggarwal,4.1 out of 5 stars,"3,310",9352534026,427
The Alchemist,Paulo Coelho,4.6 out of 5 stars,"3,820",8172234988,182
Manorama Yearbook 2019 ( English),Not Available,4.5 out of 5 stars,37,8193769716,228
24 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995-2018),Disha Experts,4.3 out of 5 stars,220,9388026586,270
How to Win Friends and Influence People,Dale Carnegie,4.5 out of 5 stars,"2,640",8192910997,79
Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,4.6 out of 5 stars,748,9351772071,105
Lucent's General Science (2018-2019) Session,Not Available,4.1 out of 5 stars,220,9384761141,150
Wings of Fire: An Autobiography of Abdul Kalam,Not Available,4.6 out of 5 stars,"2,131",8173711461,194
The Forest of Enchantments,Chitra Banerjee Divakaruni,4.6 out of 5 stars,8,9353025982,373
"Don't Lose Your Mind, Lose Your Weight",Rujuta Diwekar,4.5 out of 5 stars,"1,003",8184001053,118
Life is What You Make It,Preeti Shenoy,4.0 out of 5 stars,"2,859",9380349300,75
The Theory of Everything,Stephen Hawking,4.5 out of 5 stars,531,8179925919,111
Oswaal CBSE Sample Question Paper Class 10 Science (For March 2019 Exam),Oswaal Editorial Board,4.3 out of 5 stars,30,9388036662,127
Oswaal CBSE Sample Question Paper Class 10 Mathematics (For March 2019 Exam),Oswaal Editorial Board,4.4 out of 5 stars,42,9388036689,127
Indian Art and Culture,by Nitin Singhania,4.5,391.0,9387067548,412
CBSE Chemistry Chapterwise Solved Papers Class 12th,Not Available,4.2 out of 5 stars,97,9313161419,152
CBSE Chapterwise Physics Class 12th,Not Available,4.2 out of 5 stars,87,9313161427,172
1984,George Orwell,4.4 out of 5 stars,738,8192910903,88
Who Will Cry When You Die?,Robin Sharma,4.4 out of 5 stars,"2,795",8179922324,103
The Great Gatsby,F. Scott Fitzgerald,4.1 out of 5 stars,338,8172344562,47
Oswaal CBSE Sample Question Paper Class 10 Social Science (For March 2019 Exam),Oswaal Editorial Board,4.6 out of 5 stars,24,9388036670,126
Objective NCERT at your Fingertips - Biology,Not Available,4.7 out of 5 stars,268,9387949222,408
NTA UGC NET/SET/JRF - Paper 1: Teaching and Research Aptitude by Pearson,KVS Madaan,4.4 out of 5 stars,505,9332551731,216
40 Years' Chapterwise Topicwise Solved Papers (2018-1979) IIT JEE Physics,DC. Pandey,4.1 out of 5 stars,90,9313163292,191
High School English Grammar and Composition Book (Regular Edition),Not Available,4.4 out of 5 stars,883,9352530144,259
Fast Track Objective Arithmetic,Not Available,4.3 out of 5 stars,"2,876",9312149830,223
"The Power of Habit: Why We Do What We Do, and How to Change",Charles Duhigg,4.4 out of 5 stars,639,1847946240,286
The Secret Of The Nagas (Shiva Trilogy-2),by Amish Tripathi - Abridged,4.6,1681.0,9381626340,244
Emotion and Relationships,Sadhguru,4.7 out of 5 stars,124,9386867508,138
Rich Dad Poor Dad,Robert T. Kiyosaki,4.5 out of 5 stars,"3,563",8186775218,135
Sita: Warrior of Mithila (Ram Chandra),by Amish Tripathi,4.3,1817.0,9386224585,226
Bharat Ki Rajvayvastha,M. Laxmikanth,4.5 out of 5 stars,673,9352603869,381
40 Years' Chapterwise Topicwise Solved Papers (2018-1979) IIT JEE Mathematics,Amit M. Agarwal,4.2 out of 5 stars,91,9313163314,200
The Secret,Rhonda Byrne,4.5 out of 5 stars,"1,605",1847370292,415
The Oath of the Vayuputras (Shiva Trilogy),by Amish Tripathi,4.4,1608.0,9382618341,282
40 Years Chapterwise Topicwise Solved Papers (2018-1979) IIT JEE Chemistry,Ranjeet Shahi,4.4 out of 5 stars,91,9313163306,225
Oswaal CBSE Question Bank Class 10 Science Chapterwise and Topicwise (For March 2019 Exam),Not Available,4.6 out of 5 stars,184,9387504913,247
Objective General English,S.P. Bakshi,4.2 out of 5 stars,"1,771",9351768449,154
Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated...,by Amish Tripathi,4.1,4651.0,9385152149,240
10 Last Years Solved Papers: CBSE Class 10 for 2019 Examination,Not Available,4.0 out of 5 stars,99,9387660400,357
One Indian Girl,Chetan Bhagat,3.6 out of 5 stars,"4,929",8129142147,96
How to Stop Worrying and Start Living: Time-Tested Methods for Conquering Worry,Dale Carnegie,4.5 out of 5 stars,627,8175993952,88
Current Affairs Yearly  2019,Not Available,5.0 out of 5 stars,3,9313169886,124
The 7 Habits of Highly Effective People,Not Available,4.0 out of 5 stars,"1,093",1471131823,311
Wings of Fire: An Autobiography of Abdul Kalam,Not Available,4.6 out of 5 stars,"2,131",8173711461,194
Mahatma Gandhi Autobiography: The Story Of My Experiments With Truth,by Mahatma Gandhi,4.4,247.0,8172343116,99
The Theory of Everything,Stephen Hawking,4.5 out of 5 stars,531,8179925919,111
Turning Points : A Journey Through Challanges: A Journey Through Challenges,by A.P.J. Abdul Kalam - Abridged,4.7,409.0,9350293471,135
The Autobiography of Benjamin Franklin,by Benjamin Franklin,4.1,253.0,8175993286,99
Grinding It Out: The Making of McDonald's,by Ray Kroc,4.5,21.0,1250127505,280
My Journey: Transforming Dreams into Actions,by A.P.J. Abdul Kalam,4.7,587.0,8129124912,180
Without Fear,by Kuldip Nayar,4.7,95.0,9350292203,170
A Century is not Enough: My Roller-coaster Ride to Success,by Sourav Ganguly - Illustrated,4.6,322.0,9386228564,363
Mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340
Narendra Modi: A political Biography,by Andy Marino,4.4,92.0,9351770257,253
12 Years a Slave,by Solomon Northup,4.5,41.0,8175994479,99
Albert Einstein: A Biography,by Alice Calaprice,4.3,44.0,8184953542,263
Touch the Sky: The inspiring stories of women from across India who are writing...,by Rashmi Bansal - Abridged,3.7,38.0,9386850702,109
Devil's Advocate: The Untold Story,by Karan Thapar,4.1,70.0,9352779843,370
Jerusalem: The Biography,by Simon Sebag Montefiore,4.6,17.0,1780220251,524
My Journey,by Apj Abdul Kalam,4.6,61.0,8183224202,106
Lone Fox Dancing: My Autobiography,by Ruskin Bond,4.8,99.0,9386338904,315
Inspiring Thoughts (Inspiring Thoughts Quotation Series),by A.P.J. Abdul Kalam,4.1,148.0,8170286840,120
Gurudev: On the Plateau of the Peak: The Life of Sri Sri Ravi Shankar,by Bhanumathi Narasimhan,4.9,330.0,9386850575,293
Ronaldo - 2018 Updated Edition: The Obsession For Perfection (Luca Caioli),by Luca Caioli,5.0,9.0,1785782312,359
The Coalition Years,by Pranab Mukherjee,3.6,39.0,8129149052,325
Unbreakable,by Mary Kom,4.6,158.0,9351160092,145
Pride & Prejudice,by Jane Austen,4.3,352.0,8172344503,79
Rekha: The Untold Story,by Yasser Usman,3.7,72.0,8193284186,256
How to Memorize Anything: The Ultimate Handbook to Enlighten and Improve Your...,by Aditi Singhal,4.4,147.0,8184005210,242
Pathways to Greatness,by A.P.J. Abdul Kalam,4.7,13.0,9352643836,165
Inspiring Thoughts (Inspiring Thoughts Quotation Series),by Swami Vivekanand,4.2,306.0,8170289262,107
Meri Jeevan Yatra,by A.P.J. Abdul Kalam,4.7,146.0,9350487977,150
Autobiography of a Yogi (Telugu),by Paramahansa Yogananda,4.7,114.0,8189955357,141
Ivory Throne: Chronicles of the House of Travancore,by Manu S. Pillai,4.3,127.0,9351776425,433
"Shirdi Sai Baba: Life, Philosophy & Teachings",by Satish C. Agarwal,4.1,10.0,8175994711,159
I Tagged Her in My Heart,by Anuj Tiwari - Import,4.7,224.0,8129149567,100
Sanjay Dutt: The Crazy Untold Story of Bollywood’s Bad Boy,by Yasser Usman,4.2,37.0,9386228580,293
A Thousand Splendid Suns,by Khaled Hosseini,4.5,729.0,1408844443,374
Don'T Kill Him!: The Story Of My Life With Bhagwan Rajneesh,by Ma Anand Sheela,3.6,32.0,8172344449,189
Turning Points (Hindi),by A.P.J. Abdul Kalam,4.7,409.0,9350641003,160
Lauhpurush Sardar Vallabhbhai Patel,by Sushil Kapoor,5.0,2.0,9350484080,143
Bal Thackeray and the Rise of the Shiv Sena,by Vaibhav Purandare,3.7,13.0,8174369589,280
Indira: India’s Most Powerful Prime Minister,by Sagarika Ghose,1.4,389.0,9386228343,508
The Power of your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"4,977",8192910962,65
General Knowledge 2019,Manohar Pandey,4.2 out of 5 stars,515,9312147307,19
Think and Grow Rich,Napoleon Hill,4.6 out of 5 stars,"3,596",8192910911,64
The Alchemist,Paulo Coelho,4.6 out of 5 stars,"3,820",8172234988,182
Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,4.6 out of 5 stars,748,9351772071,105
Wings of Fire: An Autobiography of Abdul Kalam,Not Available,4.6 out of 5 stars,"2,131",8173711461,194
The Theory of Everything,Stephen Hawking,4.5 out of 5 stars,531,8179925919,111
"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,4.3 out of 5 stars,143,9387944891,199
Manorama Yearbook 2019 ( English),Not Available,4.5 out of 5 stars,37,8193769716,228
How to Win Friends and Influence People,Dale Carnegie,4.5 out of 5 stars,"2,640",8192910997,79
Who Will Cry When You Die?,Robin Sharma,4.4 out of 5 stars,"2,795",8179922324,103
This Is Not Your Story,by Savi Sharma,4.5,2177.0,9386224399,100
Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated...,by Amish Tripathi,4.1,4651.0,9385152149,240
Emotion and Relationships,Sadhguru,4.7 out of 5 stars,124,9386867508,138
"Don't Lose Your Mind, Lose Your Weight",Rujuta Diwekar,4.5 out of 5 stars,"1,003",8184001053,118
1984,George Orwell,4.4 out of 5 stars,738,8192910903,88
One Indian Girl,Chetan Bhagat,3.6 out of 5 stars,"4,929",8129142147,96
Tom Gates Book #2: Excellent Excuses Cand Other Good Stuff,by Tom Gates,4.8,76.0,9351033007,157
Word Power Made Easy,Norman Lewis,4.4 out of 5 stars,"5,643",8183071007,76
How to Stop Worrying and Start Living: Time-Tested Methods for Conquering Worry,Dale Carnegie,4.5 out of 5 stars,627,8175993952,88
Veronika Decides to Die,by Paulo Coelho,4.4,202.0,8172235437,186
Life is What You Make It,Preeti Shenoy,4.0 out of 5 stars,"2,859",9380349300,75
Miracles of Your Mind,by Dr. Joseph Murphy,4.2,218.0,8183225101,72
The Great Gatsby,F. Scott Fitzgerald,4.1 out of 5 stars,338,8172344562,47
Sita: Warrior of Mithila (Ram Chandra),by Amish Tripathi,4.3,1817.0,9386224585,226
The Leader Who Had No Title,by Robin Sharma,4.4,393.0,8184951191,189
Tom Gates Book #3: Everythings Amazing,by Tom Gates,4.8,55.0,9351033015,157
The Boy in the Striped Pyjamas (Definitions),by John Boyne,4.6,134.0,1862305277,350
My Journey: Transforming Dreams into Actions,by A.P.J. Abdul Kalam,4.7,587.0,8129124912,180
The Definitive Book of Body Language,by Allan Pease,4.4,137.0,8183220142,255
The Secret,Rhonda Byrne,4.5 out of 5 stars,"1,605",1847370292,415
The Magic,by Rhonda Byrne,4.6,602.0,1849838399,230
The Magic,by Rhonda Byrne,4.6,602.0,1849838399,230
Accounting and Finance for Bankers,by Med,4.5,248.0,9350598485,352
Eclipse,by Stephenie Meyer,4.3,92.0,1904233910,447
The Philosophy Book (Big Ideas),by DK,4.6,25.0,1405353295,609
The Great Book of Puzzles & Teasers,by George J. Summers,4.2,68.0,8172242212,60
My Baby Record Book,by Dreamland Publications,4.4,117.0,9350896540,175
Quantitative Aptitude for Competitive Examinations,R S Aggarwal,4.1 out of 5 stars,"3,310",9352534026,427
Prep Guide To BITSAT 2019,by Arihant Expert,4.1,19.0,9313163802,497
Little Black Book for Stunning Success + Tools for Action Mastery,by Robin Sharma,4.4,67.0,8184959893,220
Think and Grow Rich,Napoleon Hill,4.6 out of 5 stars,"3,596",8192910911,64
The Power of your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"4,977",8192910962,65
The Business School,by Robert T. Kiyosaki,4.5,216.0,8186775811,108
Before You Start Up: How to Prepare to Make Your Startup Dream a Reality,by Pankaj Goyal,4.6,32.0,8175994401,179
Questions Are the Answers,by Allan Pease,4.4,226.0,8186775056,83
Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,4.6 out of 5 stars,748,9351772071,105
Corporate Chanakya,by Radhakrishnan Pillai,4.2,188.0,8184951337,189
IIMA - Day to Day Economics,by Satish Y. Deodhar,4.4,314.0,8184001630,173
The 7 Habits of Highly Effective People,Not Available,4.0 out of 5 stars,"1,093",1471131823,311
"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,4.3 out of 5 stars,143,9387944891,199
I Do What I Do,by Raghuram G. Rajan,4.3,313.0,9352770145,363
Think and Grow Rich - the 21St-Century Edition,by Napoleon Hill,4.6,118.0,8183223656,185
The Business of the 21St Century (Tamil),by Robert T Kiyosaki,3.8,22.0,8183223362,149
The Dhandho Investor: The Low-Risk Value Method to High Returns,by Mohnish Pabrai,4.2,169.0,8126564636,196
Entrepreneur 5 P.M. to 9 A.M.: Launching a Profitable Start-Up without Quitting...,by Kanth Miriyala,4.0,58.0,8129123932,195
The Business School,by Robert Kiyosaki,4.2,18.0,8183221645,185
The Business School,by Robert T Kiyosaki,3.8,18.0,8183222366,185
Copycat Marketing 101,by Burke Hedges,4.2,206.0,8182744466,90
The Business of the 21St Century,by Robert T. Kiyosaki,4.3,29.0,8183223664,157
Business Sutra: A Very Indian Approach to Management (Old Edition),by Devdutt Pattanaik - Unabridged,4.4,110.0,9384067547,489
"Romancing the Balance Sheet: For Anyone Who Owns, Runs or Manages a Business",by Anil Lamba,4.5,156.0,9350294311,477
"The $100 Startup: Fire Your Boss, Do What You Love and Work Better To Live More",by Chris Guillebeau,4.0,112.0,1447286316,239
The Business of the 21St Century,by Robert T. Kiyosaki,4.1,69.0,8183223273,164
The One Minute Manager,by Kenneth Blanchard,4.4,234.0,8172234996,118
Sawal Hi Jawab Hai,by Allan Pease,4.3,237.0,8186775064,64
The Big 100: The 100 Business Tools You Need to Succeed,by Jeremy Kourdi,4.8,6.0,1444796119,208
Naye Zamane Ka Naya Business: Network Marketing,by Shanker Manshani,4.2,29.0,8183222692,190
Questions Are the Answers,by Allan Pease,4.0,21.0,8183222374,84
Inside the C-Suite: 21 Lessons from Top Management to Get Your Way in Business...,by Jayaram Easwaran,4.8,15.0,9352773691,240
Business Studies Class- 11 - CBSE-2018,by Poonam Gandhi,4.9,11.0,9387516806,350
Narrative and Numbers: The Value of Stories in Business,by Aswath Damodaran,4.7,4.0,9353024536,311
Sochiye Aur Amir Baniye (Think and Grow Rich),by Napoleon Hill,4.2,332.0,8186775552,158
Business Studies Class 12 - CBSE 2018,by Gandhi. Poonam,4.4,8.0,9387516644,375
A Feast of Vultures: The Hidden Business of Democracy in India,by Josy Joseph,4.5,254.0,9350297515,522
I have a Dream,by Rashmi Bansal,3.9,126.0,9380658389,187
Logon ko 90 seconds Mein Kaise Prabhavit Karen,by Nicholas Boothman,4.3,21.0,8183226957,207
Think and Grow Rich 21St Cent. Edition,by Napoleon Hill,4.4,92.0,8183223133,189
Marketing 4.0: Moving from Traditional to Digital,by Philip Kotler,4.2,50.0,8126566930,298
Questions Are the Answers,by Allan Pease,3.5,7.0,8186775447,116
HBR's 10 Must Reads: On Leadership (Harvard Business Review Must Reads),by HBR,4.8,14.0,1422157970,600
Retire Young Retire Rich,by Robert T. Kiyosaki,4.3,45.0,8183221459,344
Hum Apko Ameer Kyon Banana Chahte Hain ( Why We Want You to Be Rich  in Hindi),by Robert T. Kiyosaki,3.9,15.0,8183220908,333
Connect the Dots,by Rashmi Bansal,4.3,344.0,9381626707,197
Corporate Chanakya on Leadership (With CD),by Radhakrishnan Pillai,4.4,27.0,8184953070,284
Corporate Guru Dhirubhai Ambani,by Prateeksha M. Tiwari,3.3,18.0,8128824287,101
CBSE Chapterwise Solved Paper Business Studies Class 12 for 2018-2019,by Arihant Expert,3.7,18.0,9313161443,110
Great Stories for Children,by Ruskin Bond,4.4,217.0,8129118920,182
The Essential Collection for Young Readers,by Ruskin Bond,4.2,29.0,8129137003,195
Lovely Board Books: Gift Pack (Set of 10 Books),by Dreamland Publications,4.3,711.0,8184511590,455
Fantastic Beasts: The Crimes of Grindelwald: The Original Screenplay (Fantastic...,by J.K. Rowling,4.8,52.0,1408711702,434
The Vedas and Upanishads for Children,by Roopa Pai,3.0,2.0,9351952967,238
Goodnight Moon,by Margaret Wise Brown,3.9,190.0,1509829466,107
365 Pancharantra Stories,by OM Books,4.1,180.0,8187107588,357
The Blue Umbrella,by Ruskin Bond,4.4,348.0,8129124548,97
One Indian Girl,Chetan Bhagat,3.6 out of 5 stars,"4,929",8129142147,96
Baby touch: Peekaboo,by Lemon Ribbon Studio,4.3,596.0,1409300498,230
The Book of Children: Supporting the Freedom and Intelligence of a New Generation...,by Osho,4.6,35.0,1250006201,298
Children's Encyclopedia - The World of Knowledge: Familiarising Children with...,by V&S Editorial Board,4.0,112.0,9350571099,643
Student's Encyclopedia of General Knowledge (General Press),by Azeem Ahmad Khan,4.1,189.0,9380914199,131
A Complete Resource for CTET: Child Development and Pedagogy,by Sandeep Kumar,3.9,67.0,9332541302,125
The Jungle Book (First Stories),by Miriam Bos,4.4,71.0,1509808361,224
The Great Gatsby,F. Scott Fitzgerald,4.1 out of 5 stars,338,8172344562,47
1984,George Orwell,4.4 out of 5 stars,738,8192910903,88
Jane Eyre,by Charlotte Bronte,4.3,183.0,8193387619,88
Metamorphosis,by Franz Kafka,4.2,198.0,8172345135,69
Three Men in a Boat,by Jerome K. Jerome,4.3,201.0,8172344430,99
Macbeth,by William Shakespeare,4.3,89.0,8175994193,99
The Greatest Short Stories of Leo Tolstoy,by Leo Tolstoy,4.5,173.0,8184950314,189
Mrs. Dalloway,by Virginia Woolf,4.2,33.0,8175994215,99
Alice’s Adventures in Wonderland,by Lewis Carroll,4.0,119.0,8175992980,89
The Origin of Species,by Charles Darwin,4.3,214.0,8172344880,189
Goodnight Moon,by Margaret Wise Brown,3.9,190.0,1509829466,107
The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,4.5,5009.0,8172345666,75
Suppandi - 3: The Laughter Never Ends,by Rajani Thindiath,4.7,59.0,9350853736,76
Tantri the Mantri - 4,by Rajani Thindiath,4.0,7.0,9350853701,76
Bāhubali: Battle of the Bold,by Graphic India,3.7,55.0,9386224658,95
Geronimo Stilton #64: The Magical Mission,by Geronimo Stilton,4.4,91.0,9386106256,272
Objective Computer Awareness,by Arihant Experts,4.0,171.0,9311121266,78
A Handbook on Computer Science & IT - Illustrated Formulae & Key Theory Concepts,by Made Easy Editorial Board,4.0,180.0,9383643242,247
Handbook of Computer Science & IT,by Surbhi Mitra,3.9,193.0,9350944308,190
CCC (Course on Computer Concepts) Study Guide,by Arihant Experts,4.3,44.0,9311124559,147
Computer Knowledge for SBI/IBPS Clerk/PO/RRB/RBI/SSC... Exams,by Shikha Agarwal,3.5,46.0,9386320177,93
19 years GATE Computer Science & Information Technology Chapter-wise & Topic-wise...,by Disha Experts,3.8,5.0,9388026764,175
Computer System Architecture 3e (Update) by Pearson,by Mano M Morris,4.3,102.0,9332585601,446
CBSE Computer Science Chapterwise Solved Papers  Class 12 for 2018-2019,by Arihant Expert,4.4,27.0,9313161486,232
CBSE All  In One Computer Science CBSE Class 12 for 2018 - 19,by K. Ganesh Ayyer,4.2,19.0,9312149091,232
"Computer Networks, 5e (5th Edition)",by Tanenbaum,4.2,61.0,9332518742,493
CCC (Course on Computer Concepts),by Arihant Experts,3.8,41.0,9311124567,94
